When the Spike Happens,Topic,Topic Number,TF-IDF Keywords,Non-TF-IDF Keywords,Prominent Tone,Prominent Key Person Affiliation
2023-11,Presidential Activities and Statements,9,"jokowi, ikn, presiden, nusantara, groundbreaking, investor, negara, investasi, ceo, undang, kunjung, pantun, negeri, bandara, jakarta, kawasan, tanah, usaha, diam, ridwan, kamil, rp, asing, tinjau, harga, ratus, pinjam, juta, ajak, acara, sekretariat, masuk, sekolah, pakuwon, alas, milu, sambut, jalan, resmi, milik, rumah, najam, gagas, batu, kantor, forum, november, youtube, tol, erick","jokowi, ikn, presiden, nusantara, groundbreaking, negara, kawasan, investor, kunjung, undang, investasi, resmi, jakarta, kantor, acara, usaha, sambut, milik, najam, negeri, hadir, partai, rumah, paser, dukung, tni, kabupaten, rp, jawa, target, provinsi, ri, jalan, ganjar, tanah, harap, terang, masyarakat, fasilitas, lokasi, daerah, lanjut, pimpin, infrastruktur, khusus, sebut, persen, masuk, tol, gubernur",Neutral,Government
2020-02,Regional Development in Kalimantan,8,"kaltim, gubernur, paser, najam, negara, isran, noor, ikn, wilayah, usul, presiden, masyarakat, balikpapan, hutan, jokowi, bupati, ppu, samarinda, kabupaten, ri, lingkung, pusat, kawasan, daerah, wakil, lokasi, jaga, kukar, dukung, lahan, provinsi, dpr, kunjung, tambang, regional, tni, ruang, jakarta, bappenas, kaji, libat, komisi, masud, abdul, hidup, kuta, hadir, camat, bekas, henti","negara, gubernur, ikn, najam, paser, balikpapan, masyarakat, ppu, kabupaten, hutan, wilayah, daerah, lingkung, presiden, provinsi, pusat, warga, wakil, jokowi, dukung, ri, hadir, kawasan, ketua, kunjung, lokasi, camat, jakarta, kantor, harap, jalan, lahan, kembang, milik, anggota, komisi, dpr, sambut, buka, gelar, tni, masuk, terima, barat, tim, calon, air, acara, bappenas, tanah",Neutral,Government
2020-09,Regional Development in Kalimantan,8,"ppu, najam, kukar, kabupaten, paser, ikn, batik, ketua, kaltim, negara, budidaya, jamur, tiram, harap, anak, waru, pariwisata, calon, hkan, muda, usaha, semarang, kalsel, teliti, wilayah, terap, desa, provinsi, sentra, alam, camat, daerah, buka, konservasi, ajar, kartanegara, kuta, laksana, rtrw, dokter, pasangkayu, jargas, usul, universitas, pemkab, sehat, tunan, warga, sungai, tenggarong","najam, ppu, kabupaten, paser, ikn, negara, ketua, daerah, camat, harap, calon, wilayah, provinsi, masyarakat, usaha, laksana, milik, salah, warga, buka, sambut, infrastruktur, satu, siap, wakil, nasional, acara, dunia, jalan, lokasi, tim, gelar, masuk, pusat, terima, hadir, giat, undang, sumber, kembang, presiden, pimpin, terang, ri, tuju, nusantara, dukung, bidang, sri, orang",Positive,Government
2021-02,Regional Development in Kalimantan,8,"paser, najam, kabupaten, ppu, wisata, ikn, presiden, kaltim, tanah, negara, ketua, bupati, tani, daerah, kalsel, jokowi, desa, bnk, camat, noor, provinsi, kembang, isran, paku, wilayah, bumbu, gubernur, aju, wakil, destinasi, kpk, capai, persen, serah, skema, atur, jual, langkah, kartanegara, kuta, bukit, kolam, lokasi, badan, nasional, had, pulau, dprd, calon, lanjut","paser, kabupaten, najam, ikn, ppu, negara, daerah, camat, ketua, paku, wilayah, presiden, provinsi, tanah, wakil, masyarakat, tingkat, kembang, balikpapan, sambut, persen, gubernur, lokasi, milik, harap, calon, masuk, nasional, jokowi, hadir, pusat, jalan, nomor, giat, warga, capai, fasilitas, dukung, air, lahan, program, kantor, selatan, lanjut, resmi, atur, badan, rancang, kunjung, bidang",Neutral,Government
2021-03,Regional Development in Kalimantan,8,"paser, negara, najam, kaltim, istana, ppu, kabupaten, ikn, presiden, groundbreaking, desain, bupati, isran, april, leta, laksana, batu, noor, camat, gelar, dprd, bocor, lokasi, wakil, gubernur, agustus, paku, nasional, wilayah, tingkat, daerah, masyarakat, agm, desa, lahan, waru, ketua, masuk, sambut, provinsi, orang, rancang, anggota, abdul, ikat, tani, kartanegara, kuta, rtrw, rpjmd","paser, ppu, negara, najam, kabupaten, ikn, wakil, provinsi, istana, daerah, wilayah, presiden, gubernur, lahan, camat, masyarakat, ketua, laksana, gelar, groundbreaking, harap, desain, jalan, lokasi, sambut, salah, anggota, tingkat, nasional, bentuk, rancang, hadir, masuk, pusat, undang, orang, dukung, paku, calon, komisi, bappenas, kunjung, siap, kutip, ri, milik, khusus, rakyat, bahas, kantor",Neutral,Government
2021-04,Regional Development in Kalimantan,8,"kaltim, negara, jokowi, isran, ikn, bappenas, gubernur, noor, suharso, najam, paser, presiden, ppu, lingkung, dpd, ri, lokasi, surga, titik, masuk, istana, paku, kabupaten, ketua, sdm, nasional, siti, camat, monoarfa, daerah, nurbaya, kunjung, samarinda, harap, wilayah, tanah, tingkat, nol, lahan, kawasan, april, hidup, mahmud, mattalitti, ui, tetap, lanyalla, masyarakat, milik, bumi","negara, ikn, paser, najam, gubernur, kabupaten, lokasi, ppu, ri, daerah, ketua, bappenas, suharso, paku, camat, wilayah, jokowi, kunjung, presiden, lingkung, harap, masyarakat, provinsi, masuk, istana, wakil, titik, nasional, air, tanah, lahan, pusat, tingkat, kembang, balikpapan, warga, kawasan, milik, sambut, nol, hutan, calon, program, lanjut, hadir, salah, anggota, groundbreaking, tni, sumber",Neutral,Government
2021-08,Regional Development in Kalimantan,8,"kaltim, negara, ikn, najam, covid, paku, pandemi, paser, isran, kabupaten, juang, lahan, tower, kuta, perwiranusa, ppu, rumah, noor, gubernur, lokasi, masyarakat, prabowo, presiden, pusat, kalsel, kece, muhammad, bendung, semoi, menhan, ri, balikpapan, sepakunegara, daerah, merdeka, pemprov, jalan, pilih, kawasan, wagub, kartanegara, polri, tangkap, akun, hak, laksana, anggar, bebas, sakit, dampak","ikn, najam, negara, ppu, paku, kabupaten, paser, daerah, balikpapan, gubernur, camat, pusat, presiden, ketua, tingkat, wakil, masyarakat, ri, jakarta, lokasi, anggota, jalan, anggar, wilayah, lahan, jokowi, laksana, pupr, rumah, lanjut, hasil, gelar, tol, rakyat, provinsi, pilih, tim, program, dpr, kembang, harap, nasional, barat, sambut, kawasan, target, air, hadir, salah, buka",Positive,Government
2021-10,Regional Development in Kalimantan,8,"kaltim, paser, ikn, negara, najam, kukar, kabupaten, rei, ppu, uniba, wilayah, pusat, daerah, dpd, rp, presiden, ketua, tambang, paku, bupati, balikpapan, gubernur, camat, wakil, mahyudin, tani, sambut, ri, kunjung, pemkab, anggar, masyarakat, tabalong, sultan, muliadi, warga, ujuk, anak, harap, korban, sulteng, provinsi, bagus, susetyo, giat, phra, air, awas, nasional, musda","ikn, negara, kabupaten, paser, najam, ppu, daerah, pusat, kunjung, balikpapan, wilayah, ri, provinsi, rp, ketua, masyarakat, gubernur, milik, wakil, presiden, harap, rumah, camat, sambut, giat, calon, warga, jakarta, paku, nasional, butuh, orang, rakyat, air, komisi, badan, dukung, laksana, dpr, anggar, anies, usaha, gelar, kantor, kembang, terang, dunia, persen, kawasan, lokasi",Positive,Government
2021-12,Regional Development in Kalimantan,8,"paser, ikn, negara, najam, kabupaten, adat, masyarakat, balikpapan, paku, wilayah, hak, ppu, daerah, smart, lokasi, gubernur, banjir, buol, provinsi, investasi, dukung, aman, camat, dayak, tahan, tingkat, kawasan, city, masterplan, tani, jakarta, ketua, harga, awas, pangan, calon, warga, program, peluang, susun, hormat, bupati, fadliansyah, kembang, amirudin, rauf, potensi, resmi, hadir, upaya","ikn, negara, paser, najam, kabupaten, ppu, daerah, wilayah, paku, masyarakat, ketua, dukung, lokasi, camat, gubernur, balikpapan, calon, provinsi, presiden, jakarta, warga, tingkat, dpr, kawasan, ri, harap, program, gedung, undang, wakil, ruu, pilih, gelar, lingkung, pusat, anggota, tanah, badan, jalan, pimpin, kunjung, tim, investasi, nasional, kembang, acara, hadir, kantor, city, siap",Positive,Government
2022-01,Regional Development in Kalimantan,8,"edy, mulyadi, ikn, negara, nusantara, paser, najam, nyata, jakarta, nama, lokasi, tanah, jin, pbnu, kabupaten, buang, anak, masyarakat, hina, undang, video, presiden, camat, harga, duga, paku, balikpapan, wilayah, viral, prabowo, daerah, provinsi, lapor, warga, lahan, kantor, ketua, sebut, gus, panggil, urus, milik, polri, yahya, adat, ri, bareskrim, maaf, polisi, pilih","edy, mulyadi, ikn, negara, nyata, nusantara, paser, masyarakat, najam, jakarta, lokasi, nama, kabupaten, ketua, undang, wilayah, sebut, warga, tanah, presiden, paku, ri, camat, daerah, provinsi, balikpapan, wakil, ppu, lahan, kawasan, dpr, nilai, milik, satu, kantor, gubernur, ruu, selatan, orang, jokowi, jalan, proses, pusat, hadir, tni, salah, anggota, uu, pilih, pimpin",Neutral,Non-Government
2022-03,Regional Development in Kalimantan,8,"gubernur, tanah, ikn, air, nusantara, bawa, jokowi, presiden, kpk, negara, kampung, kemah, tni, anies, akuarium, kendi, lokasi, titik, provinsi, jakarta, jawa, paser, najam, nol, satu, barat, ritual, daerah, kabupaten, adat, ambil, masyarakat, prosesi, paku, hadir, selatan, wakil, lahan, dki, undang, wilayah, maret, polri, inap, kawasan, ridwan, kamil, balikpapan, bambang, giat","ikn, nusantara, tanah, gubernur, air, negara, presiden, jokowi, tni, jakarta, satu, provinsi, paser, titik, najam, anies, nol, lokasi, kabupaten, masyarakat, daerah, wakil, barat, jawa, dukung, dki, wilayah, ketua, hadir, paku, selatan, kawasan, lahan, undang, pusat, pimpin, camat, harap, warga, bentuk, ri, jalan, bambang, giat, komisi, pilih, milik, terang, balikpapan, ppu",Neutral,Government
2022-07,Regional Development in Kalimantan,8,"ikn, sandeq, nusantara, jakarta, polda, paser, jawa, sulawesi, negara, barat, bintara, festival, polri, najam, mamuju, balikpapan, wilayah, daerah, tni, dprd, kabupaten, panitia, dki, masyarakat, spn, edy, provinsi, lantik, jokowi, gubernur, giat, race, tempat, presiden, kunjung, polisi, camat, sambas, hadir, pangan, dukung, ketua, mulyadi, sulteng, akmal, al, hut, remaja, jabat, malik","ikn, nusantara, negara, barat, paser, provinsi, kabupaten, balikpapan, daerah, jakarta, najam, wilayah, dukung, masyarakat, jawa, tni, gubernur, edy, hadir, giat, selatan, mulyadi, laksana, presiden, orang, jalan, camat, ketua, ganjar, salah, kunjung, lokasi, dki, anggota, warga, bentuk, milik, gelar, ri, ppu, siap, paku, jokowi, lingkung, pusat, tingkat, jabat, tugas, harap, nilai",Neutral,Government
